onet_soc_code,title,element_id,element_name,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
33-3041.00,Parking Enforcement Workers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,53.38,08/2026,Incumbent,O*NET
33-3041.00,Parking Enforcement Workers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",43.55,08/2026,Incumbent,O*NET
33-3051.00,Police and Sheriff's Patrol Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,62.21,08/2026,Incumbent,O*NET
33-3051.00,Police and Sheriff's Patrol Officers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",40.11,08/2026,Incumbent,O*NET
33-3051.00,Police and Sheriff's Patrol Officers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",32.6,08/2026,Incumbent,O*NET
33-3051.04,Customs and Border Protection Officers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,48.38,07/2012,Incumbent,O*NET
33-3051.04,Customs and Border Protection Officers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",32.26,07/2012,Incumbent,O*NET
33-3051.04,Customs and Border Protection Officers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",27.2,07/2012,Incumbent,O*NET
33-3052.00,Transit and Railroad Police,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,27.0,07/2017,Incumbent,O*NET
33-3052.00,Transit and Railroad Police,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",35.6,07/2017,Incumbent,O*NET
33-3052.00,Transit and Railroad Police,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",48.56,07/2017,Incumbent,O*NET
33-9011.00,Animal Control Workers,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),6,"Over 1 year, up to and including 2 years",46.15,08/2025,Occupational Expert,O*NET
33-9011.00,Animal Control Workers,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),4,"Over 3 months, up to and including 6 months",30.77,08/2025,Occupational Expert,O*NET
33-9011.00,Animal Control Workers,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",34.62,08/2025,Occupational Expert,O*NET
33-9021.00,Private Detectives and Investigators,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),8,"Over 4 years, up to and including 6 years",27.12,07/2015,Incumbent,O*NET
33-9021.00,Private Detectives and Investigators,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,23.44,07/2015,Incumbent,O*NET
33-9021.00,Private Detectives and Investigators,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",24.44,07/2015,Incumbent,O*NET
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,56.87,08/2019,Incumbent,O*NET
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),5,"Over 6 months, up to and including 1 year",30.84,08/2019,Incumbent,O*NET
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),3,"Over 1 month, up to and including 3 months",32.76,08/2019,Incumbent,O*NET
33-9032.00,Security Guards,3.A.1,Related Work Experience,RW,Related Work Experience (Categories 1-11),1,,37.22,08/2023,Incumbent,O*NET
33-9032.00,Security Guards,3.A.2,On-Site or In-Plant Training,PT,On-Site Or In-Plant Training (Categories 1-9),2,Up to and including 1 month,53.41,08/2023,Incumbent,O*NET
33-9032.00,Security Guards,3.A.3,On-the-Job Training,OJ,On-The-Job Training (Categories 1-9),2,"Anything beyond short demonstration, up to and including 1 month",61.43,08/2023,Incumbent,O*NET
