level,anzsco_code,anzsco_title,northern_australia,date,vacancies
4,4232,Dental Assistants,Northern Australia,2026-07-01,31
4,4233,Nursing Support and Personal Care Workers,Northern Australia,2026-07-01,113
4,4234,Special Care Workers,Northern Australia,2026-07-01,6
4,4311,Bar Attendants and Baristas,Northern Australia,2026-07-01,64
4,4312,Cafe Workers,Northern Australia,2026-07-01,14
4,4313,Gaming Workers,Northern Australia,2026-07-01,5
4,4314,Hotel Service Managers,Northern Australia,2026-07-01,9
4,4315,Waiters,Northern Australia,2026-07-01,68
4,4412,Fire and Emergency Workers,Northern Australia,2026-07-01,13
4,4413,Police,Northern Australia,2026-07-01,3
4,4421,Prison Officers,Northern Australia,2026-07-01,5
4,4422,Security Officers and Guards,Northern Australia,2026-07-01,56
4,4511,Beauty Therapists,Northern Australia,2026-07-01,14
4,4512,Driving Instructors,Northern Australia,2026-07-01,3
4,4513,Funeral Workers,Northern Australia,2026-07-01,2
4,4514,"Gallery, Museum and Tour Guides",Northern Australia,2026-07-01,21
4,4515,Personal Care Consultants,Northern Australia,2026-07-01,0
4,4516,Tourism and Travel Advisers,Northern Australia,2026-07-01,7
4,4517,Travel Attendants,Northern Australia,2026-07-01,5
4,4521,Fitness Instructors,Northern Australia,2026-07-01,14
4,4522,Outdoor Adventure Guides,Northern Australia,2026-07-01,4
4,4523,"Sports Coaches, Instructors and Officials",Northern Australia,2026-07-01,48
4,4524,Sportspersons,Northern Australia,2026-07-01,8
1,5,CLERICAL AND ADMINISTRATIVE WORKERS,Northern Australia,2026-07-01,1697
2,55,Numerical Clerks,Northern Australia,2026-07-01,198
2,56,Clerical and Office Support Workers,Northern Australia,2026-07-01,58
2,59,Other Clerical and Administrative Workers,Northern Australia,2026-07-01,261
2,5A,"Office Managers, Administrators and Secretaries",Northern Australia,2026-07-01,220
2,5B,"General-Inquiry Clerks, Call Centre Workers, and Receptionists",Northern Australia,2026-07-01,961
4,5111,"Contract, Program and Project Administrators",Northern Australia,2026-07-01,100
4,5121,Office Managers,Northern Australia,2026-07-01,55
4,5122,Practice Managers,Northern Australia,2026-07-01,17
4,5211,Personal Assistants,Northern Australia,2026-07-01,10
4,5212,Secretaries,Northern Australia,2026-07-01,37
4,5311,General Clerks,Northern Australia,2026-07-01,768
4,5321,Keyboard Operators,Northern Australia,2026-07-01,4
4,5411,Call or Contact Centre Workers,Northern Australia,2026-07-01,47
4,5412,Information Officers,Northern Australia,2026-07-01,22
4,5421,Receptionists,Northern Australia,2026-07-01,120
4,5511,Accounting Clerks,Northern Australia,2026-07-01,55
4,5512,Bookkeepers,Northern Australia,2026-07-01,12
4,5513,Payroll Clerks,Northern Australia,2026-07-01,32
4,5521,Bank Workers,Northern Australia,2026-07-01,45
4,5522,Credit and Loans Officers,Northern Australia,2026-07-01,54
4,5523,"Insurance, Money Market and Statistical Clerks",Northern Australia,2026-07-01,1
4,5611,Betting Clerks,Northern Australia,2026-07-01,0
4,5612,Couriers and Postal Deliverers,Northern Australia,2026-07-01,35
4,5613,Filing and Registry Clerks,Northern Australia,2026-07-01,6
4,5614,Mail Sorters,Northern Australia,2026-07-01,2
4,5615,Survey Interviewers,Northern Australia,2026-07-01,9
4,5616,Switchboard Operators,Northern Australia,2026-07-01,0
4,5619,Other Clerical and Office Support Workers,Northern Australia,2026-07-01,5
4,5911,Purchasing and Supply Logistics Clerks,Northern Australia,2026-07-01,100
4,5912,Transport and Despatch Clerks,Northern Australia,2026-07-01,53
4,5991,Conveyancers and Legal Executives,Northern Australia,2026-07-01,13
4,5992,Court and Legal Clerks,Northern Australia,2026-07-01,5
4,5993,Debt Collectors,Northern Australia,2026-07-01,2
4,5994,Human Resource Clerks,Northern Australia,2026-07-01,3
4,5995,Inspectors and Regulatory Officers,Northern Australia,2026-07-01,58
4,5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",Northern Australia,2026-07-01,9
4,5997,Library Assistants,Northern Australia,2026-07-01,5
4,5999,Other Miscellaneous Clerical and Administrative Workers,Northern Australia,2026-07-01,11
1,6,SALES WORKERS,Northern Australia,2026-07-01,933
2,61,Sales Representatives and Agents,Northern Australia,2026-07-01,179
2,62,Sales Assistants and Salespersons,Northern Australia,2026-07-01,670
2,63,Sales Support Workers,Northern Australia,2026-07-01,83
4,6111,"Auctioneers, and Stock and Station Agents",Northern Australia,2026-07-01,1
4,6112,Insurance Agents,Northern Australia,2026-07-01,14
4,6113,Sales Representatives,Northern Australia,2026-07-01,110
4,6121,Real Estate Sales Agents,Northern Australia,2026-07-01,55
4,6211,Sales Assistants (General),Northern Australia,2026-07-01,549
4,6212,ICT Sales Assistants,Northern Australia,2026-07-01,0
4,6213,Motor Vehicle and Vehicle Parts Salespersons,Northern Australia,2026-07-01,55
4,6214,Pharmacy Sales Assistants,Northern Australia,2026-07-01,20
4,6215,Retail Supervisors,Northern Australia,2026-07-01,39
4,6216,Service Station Attendants,Northern Australia,2026-07-01,4
4,6217,Street Vendors and Related Salespersons,Northern Australia,2026-07-01,0
4,6219,Other Sales Assistants and Salespersons,Northern Australia,2026-07-01,3
4,6311,Checkout Operators and Office Cashiers,Northern Australia,2026-07-01,7
4,6391,Models and Sales Demonstrators,Northern Australia,2026-07-01,34
4,6392,Retail and Wool Buyers,Northern Australia,2026-07-01,1
4,6393,Telemarketers,Northern Australia,2026-07-01,3
4,6394,Ticket Salespersons,Northern Australia,2026-07-01,5
4,6395,Visual Merchandisers,Northern Australia,2026-07-01,5
4,6399,Other Sales Support Workers,Northern Australia,2026-07-01,28
1,7,MACHINERY OPERATORS AND DRIVERS,Northern Australia,2026-07-01,1451
2,71,Machine and Stationary Plant Operators,Northern Australia,2026-07-01,364
2,72,Mobile Plant Operators,Northern Australia,2026-07-01,357
2,7A,Drivers and Storepersons,Northern Australia,2026-07-01,730
4,7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Northern Australia,2026-07-01,0
4,7112,Industrial Spraypainters,Northern Australia,2026-07-01,11
4,7113,Paper and Wood Processing Machine Operators,Northern Australia,2026-07-01,0
4,7114,Photographic Developers and Printers,Northern Australia,2026-07-01,0
4,7115,Plastics and Rubber Production Machine Operators,Northern Australia,2026-07-01,6
4,7116,Sewing Machinists,Northern Australia,2026-07-01,4
4,7117,Textile and Footwear Production Machine Operators,Northern Australia,2026-07-01,0
4,7119,Other Machine Operators,Northern Australia,2026-07-01,43
4,7121,"Crane, Hoist and Lift Operators",Northern Australia,2026-07-01,43
4,7122,"Drillers, Miners and Shot Firers",Northern Australia,2026-07-01,181
4,7123,Engineering Production Workers,Northern Australia,2026-07-01,6
4,7129,Other Stationary Plant Operators,Northern Australia,2026-07-01,71
4,7211,"Agricultural, Forestry and Horticultural Plant Operators",Northern Australia,2026-07-01,10
4,7212,Earthmoving Plant Operators,Northern Australia,2026-07-01,215
4,7213,Forklift Drivers,Northern Australia,2026-07-01,77
4,7219,Other Mobile Plant Operators,Northern Australia,2026-07-01,56
4,7311,Automobile Drivers,Northern Australia,2026-07-01,3
4,7312,Bus and Coach Drivers,Northern Australia,2026-07-01,45
4,7313,Train and Tram Drivers,Northern Australia,2026-07-01,30
4,7321,Delivery Drivers,Northern Australia,2026-07-01,97
