anzsco_code,occupation,state,share_pct
121221,Vegetable Growers,NT,0.9
121221,Vegetable Growers,ACT,0.1
121299,Other Crop Farmers,NSW,26.5
121299,Other Crop Farmers,VIC,25.9
121299,Other Crop Farmers,QLD,24.8
121299,Other Crop Farmers,SA,8.4
121299,Other Crop Farmers,WA,10.3
121299,Other Crop Farmers,TAS,3.4
121299,Other Crop Farmers,NT,0.7
121299,Other Crop Farmers,ACT,0.1
121311,Beekeepers,NSW,35.2
121311,Beekeepers,VIC,17.5
121311,Beekeepers,QLD,19.9
121311,Beekeepers,SA,11.1
121311,Beekeepers,WA,9.9
121311,Beekeepers,TAS,5.2
121311,Beekeepers,NT,0.3
121311,Beekeepers,ACT,0.4
121312,Beef Cattle Farmers,NSW,29.2
121312,Beef Cattle Farmers,VIC,21.5
121312,Beef Cattle Farmers,QLD,35.1
121312,Beef Cattle Farmers,SA,3.5
121312,Beef Cattle Farmers,WA,6.3
121312,Beef Cattle Farmers,TAS,3.3
121312,Beef Cattle Farmers,NT,1.1
121312,Beef Cattle Farmers,ACT,0.1
121313,Dairy Cattle Farmers,NSW,14
121313,Dairy Cattle Farmers,VIC,63.1
121313,Dairy Cattle Farmers,QLD,7.1
121313,Dairy Cattle Farmers,SA,5
121313,Dairy Cattle Farmers,WA,2.8
121313,Dairy Cattle Farmers,TAS,7.9
121313,Dairy Cattle Farmers,NT,0
121313,Dairy Cattle Farmers,ACT,0
121315,Goat Farmers,NSW,43.1
121315,Goat Farmers,VIC,20.8
121315,Goat Farmers,QLD,22.7
121315,Goat Farmers,SA,4.2
121315,Goat Farmers,WA,4.2
121315,Goat Farmers,TAS,3.7
121315,Goat Farmers,NT,0
121315,Goat Farmers,ACT,0
121316,Horse Breeders,NSW,40.5
121316,Horse Breeders,VIC,28.6
121316,Horse Breeders,QLD,15.9
121316,Horse Breeders,SA,4.9
121316,Horse Breeders,WA,8.7
121316,Horse Breeders,TAS,0.8
121316,Horse Breeders,NT,0
121316,Horse Breeders,ACT,0.3
121317,Mixed Livestock Farmers,NSW,43.3
121317,Mixed Livestock Farmers,VIC,25.4
121317,Mixed Livestock Farmers,QLD,9.4
121317,Mixed Livestock Farmers,SA,11.1
121317,Mixed Livestock Farmers,WA,6
121317,Mixed Livestock Farmers,TAS,4.9
121317,Mixed Livestock Farmers,NT,0
121317,Mixed Livestock Farmers,ACT,0.2
121318,Pig Farmers,NSW,17.3
121318,Pig Farmers,VIC,27.6
121318,Pig Farmers,QLD,23.3
121318,Pig Farmers,SA,18.3
121318,Pig Farmers,WA,12.3
121318,Pig Farmers,TAS,2.5
121318,Pig Farmers,NT,0
121318,Pig Farmers,ACT,0
121321,Poultry Farmers,NSW,32.4
121321,Poultry Farmers,VIC,30.4
121321,Poultry Farmers,QLD,15.6
121321,Poultry Farmers,SA,11.3
121321,Poultry Farmers,WA,7.7
121321,Poultry Farmers,TAS,2.1
121321,Poultry Farmers,NT,0
121321,Poultry Farmers,ACT,0.2
121322,Sheep Farmers,NSW,34.3
121322,Sheep Farmers,VIC,29.6
121322,Sheep Farmers,QLD,3.1
121322,Sheep Farmers,SA,16.6
121322,Sheep Farmers,WA,12.3
121322,Sheep Farmers,TAS,3.9
121322,Sheep Farmers,NT,0
121322,Sheep Farmers,ACT,0.2
121399,Other Livestock Farmers,NSW,32.7
121399,Other Livestock Farmers,VIC,24
121399,Other Livestock Farmers,QLD,22.3
121399,Other Livestock Farmers,SA,9.5
121399,Other Livestock Farmers,WA,6
121399,Other Livestock Farmers,TAS,3.7
121399,Other Livestock Farmers,NT,2.2
121399,Other Livestock Farmers,ACT,0
131112,Sales and Marketing Managers,NSW,37.9
131112,Sales and Marketing Managers,VIC,28.7
131112,Sales and Marketing Managers,QLD,17.7
131112,Sales and Marketing Managers,SA,5.4
131112,Sales and Marketing Managers,WA,8.2
131112,Sales and Marketing Managers,TAS,0.9
131112,Sales and Marketing Managers,NT,0.4
131112,Sales and Marketing Managers,ACT,0.9
131113,Advertising Managers,NSW,52
131113,Advertising Managers,VIC,29.1
131113,Advertising Managers,QLD,10.4
131113,Advertising Managers,SA,2.7
131113,Advertising Managers,WA,4.9
131113,Advertising Managers,TAS,0.5
131113,Advertising Managers,NT,0.2
131113,Advertising Managers,ACT,0.7
131114,Public Relations Managers,NSW,38.1
131114,Public Relations Managers,VIC,29.5
131114,Public Relations Managers,QLD,12.7
131114,Public Relations Managers,SA,3.8
131114,Public Relations Managers,WA,7
131114,Public Relations Managers,TAS,1.3
131114,Public Relations Managers,NT,0.9
131114,Public Relations Managers,ACT,6.6
133111,Construction Project Managers,NSW,34.2
133111,Construction Project Managers,VIC,27.5
133111,Construction Project Managers,QLD,18.4
133111,Construction Project Managers,SA,5.7
133111,Construction Project Managers,WA,9.3
133111,Construction Project Managers,TAS,1.6
133111,Construction Project Managers,NT,1
133111,Construction Project Managers,ACT,2.2
133112,Project Builders,NSW,33.8
133112,Project Builders,VIC,27.7
133112,Project Builders,QLD,19.5
133112,Project Builders,SA,6
133112,Project Builders,WA,6.5
133112,Project Builders,TAS,4.2
133112,Project Builders,NT,0.7
133112,Project Builders,ACT,1.6
133311,Importers and Exporters,NSW,31.7
133311,Importers and Exporters,VIC,35.3
133311,Importers and Exporters,QLD,17.4
133311,Importers and Exporters,SA,5.6
133311,Importers and Exporters,WA,7.5
133311,Importers and Exporters,TAS,1.3
133311,Importers and Exporters,NT,0.4
133311,Importers and Exporters,ACT,0.6
133312,Wholesalers,NSW,32.8
133312,Wholesalers,VIC,29.2
133312,Wholesalers,QLD,17.9
133312,Wholesalers,SA,6.4
133312,Wholesalers,WA,10.5
133312,Wholesalers,TAS,1.8
133312,Wholesalers,NT,0.6
133312,Wholesalers,ACT,0.7
133511,Forest Managers,NSW,19.9
133511,Forest Managers,VIC,32.6
133511,Forest Managers,QLD,11.3
133511,Forest Managers,SA,9.2
133511,Forest Managers,WA,14.8
133511,Forest Managers,TAS,9.9
133511,Forest Managers,NT,1
133511,Forest Managers,ACT,0.7
133512,Manufacturing Production Managers,NSW,29.4
133512,Manufacturing Production Managers,VIC,33.5
133512,Manufacturing Production Managers,QLD,18.4
133512,Manufacturing Production Managers,SA,7.5
133512,Manufacturing Production Managers,WA,8.5
133512,Manufacturing Production Managers,TAS,1.9
133512,Manufacturing Production Managers,NT,0.2
133512,Manufacturing Production Managers,ACT,0.4
133513,Mine Managers,NSW,14.8
133513,Mine Managers,VIC,5.9
133513,Mine Managers,QLD,25.9
133513,Mine Managers,SA,6
133513,Mine Managers,WA,44.8
133513,Mine Managers,TAS,1.3
133513,Mine Managers,NT,1
133513,Mine Managers,ACT,0.1
133611,Supply and Distribution Managers,NSW,34
133611,Supply and Distribution Managers,VIC,28.8
133611,Supply and Distribution Managers,QLD,17.8
133611,Supply and Distribution Managers,SA,6
133611,Supply and Distribution Managers,WA,9.8
133611,Supply and Distribution Managers,TAS,1.3
133611,Supply and Distribution Managers,NT,0.9
133611,Supply and Distribution Managers,ACT,1.4
133612,Procurement Managers,NSW,34.8
133612,Procurement Managers,VIC,30
133612,Procurement Managers,QLD,15.3
133612,Procurement Managers,SA,5.2
133612,Procurement Managers,WA,9.4
133612,Procurement Managers,TAS,1
133612,Procurement Managers,NT,0.6
133612,Procurement Managers,ACT,3.7
134211,Medical Administrators,NSW,29.8
134211,Medical Administrators,VIC,28.5
134211,Medical Administrators,QLD,21.4
134211,Medical Administrators,SA,6.2
134211,Medical Administrators,WA,8.7
134211,Medical Administrators,TAS,1.6
134211,Medical Administrators,NT,1.1
134211,Medical Administrators,ACT,2.6
134212,Nursing Clinical Directors,NSW,27.6
134212,Nursing Clinical Directors,VIC,24.1
134212,Nursing Clinical Directors,QLD,24.9
134212,Nursing Clinical Directors,SA,9.8
134212,Nursing Clinical Directors,WA,6.9
134212,Nursing Clinical Directors,TAS,3.6
134212,Nursing Clinical Directors,NT,1.2
