classification_level,asced_field_code,field_name,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,detailed_field_code,detailed_field_name,data_source
detailed,030799,"Mechanical and Industrial Engineering and Technology, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0307,Mechanical and Industrial Engineering and Technology,030799,"Mechanical and Industrial Engineering and Technology, n.e.c.",ASCED 2001
narrow,0309,Civil Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,,,ASCED 2001
detailed,030901,Construction Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,030901,Construction Engineering,ASCED 2001
detailed,030903,Structural Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,030903,Structural Engineering,ASCED 2001
detailed,030905,Building Services Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,030905,Building Services Engineering,ASCED 2001
detailed,030907,Water and Sanitary Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,030907,Water and Sanitary Engineering,ASCED 2001
detailed,030909,Transport Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,030909,Transport Engineering,ASCED 2001
detailed,030911,Geotechnical Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,030911,Geotechnical Engineering,ASCED 2001
detailed,030913,Ocean Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,030913,Ocean Engineering,ASCED 2001
detailed,030999,"Civil Engineering, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0309,Civil Engineering,030999,"Civil Engineering, n.e.c.",ASCED 2001
narrow,0311,Geomatic Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0311,Geomatic Engineering,,,ASCED 2001
detailed,031101,Surveying,03,ENGINEERING AND RELATED TECHNOLOGIES,0311,Geomatic Engineering,031101,Surveying,ASCED 2001
detailed,031103,Mapping Science,03,ENGINEERING AND RELATED TECHNOLOGIES,0311,Geomatic Engineering,031103,Mapping Science,ASCED 2001
detailed,031199,"Geomatic Engineering, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0311,Geomatic Engineering,031199,"Geomatic Engineering, n.e.c.",ASCED 2001
narrow,0313,Electrical and Electronic Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,,,ASCED 2001
detailed,031301,Electrical Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031301,Electrical Engineering,ASCED 2001
detailed,031303,Electronic Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031303,Electronic Engineering,ASCED 2001
detailed,031305,Computer Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031305,Computer Engineering,ASCED 2001
detailed,031307,Communications Technologies,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031307,Communications Technologies,ASCED 2001
detailed,031309,Communications Equipment Installation and Maintenance,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031309,Communications Equipment Installation and Maintenance,ASCED 2001
detailed,031311,Powerline Installation and Maintenance,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031311,Powerline Installation and Maintenance,ASCED 2001
detailed,031313,"Electrical Fitting, Electrical Mechanics",03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031313,"Electrical Fitting, Electrical Mechanics",ASCED 2001
detailed,031315,Refrigeration and Air Conditioning Mechanics,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031315,Refrigeration and Air Conditioning Mechanics,ASCED 2001
detailed,031317,Electronic Equipment Servicing,03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031317,Electronic Equipment Servicing,ASCED 2001
detailed,031399,"Electrical and Electronic Engineering and Technology, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0313,Electrical and Electronic Engineering and Technology,031399,"Electrical and Electronic Engineering and Technology, n.e.c.",ASCED 2001
narrow,0315,Aerospace Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,0315,Aerospace Engineering and Technology,,,ASCED 2001
detailed,031501,Aerospace Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0315,Aerospace Engineering and Technology,031501,Aerospace Engineering,ASCED 2001
detailed,031503,Aircraft Maintenance Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0315,Aerospace Engineering and Technology,031503,Aircraft Maintenance Engineering,ASCED 2001
detailed,031505,Aircraft Operation,03,ENGINEERING AND RELATED TECHNOLOGIES,0315,Aerospace Engineering and Technology,031505,Aircraft Operation,ASCED 2001
detailed,031507,Air Traffic Control,03,ENGINEERING AND RELATED TECHNOLOGIES,0315,Aerospace Engineering and Technology,031507,Air Traffic Control,ASCED 2001
detailed,031599,"Aerospace Engineering and Technology, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0315,Aerospace Engineering and Technology,031599,"Aerospace Engineering and Technology, n.e.c.",ASCED 2001
narrow,0317,Maritime Engineering and Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,0317,Maritime Engineering and Technology,,,ASCED 2001
detailed,031701,Maritime Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0317,Maritime Engineering and Technology,031701,Maritime Engineering,ASCED 2001
detailed,031703,Marine Construction,03,ENGINEERING AND RELATED TECHNOLOGIES,0317,Maritime Engineering and Technology,031703,Marine Construction,ASCED 2001
detailed,031705,Marine Craft Operation,03,ENGINEERING AND RELATED TECHNOLOGIES,0317,Maritime Engineering and Technology,031705,Marine Craft Operation,ASCED 2001
detailed,031799,"Maritime Engineering and Technology, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0317,Maritime Engineering and Technology,031799,"Maritime Engineering and Technology, n.e.c.",ASCED 2001
narrow,0399,Other Engineering and Related Technologies,03,ENGINEERING AND RELATED TECHNOLOGIES,0399,Other Engineering and Related Technologies,,,ASCED 2001
detailed,039901,Environmental Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0399,Other Engineering and Related Technologies,039901,Environmental Engineering,ASCED 2001
detailed,039903,Biomedical Engineering,03,ENGINEERING AND RELATED TECHNOLOGIES,0399,Other Engineering and Related Technologies,039903,Biomedical Engineering,ASCED 2001
detailed,039905,Fire Technology,03,ENGINEERING AND RELATED TECHNOLOGIES,0399,Other Engineering and Related Technologies,039905,Fire Technology,ASCED 2001
detailed,039907,Rail Operations,03,ENGINEERING AND RELATED TECHNOLOGIES,0399,Other Engineering and Related Technologies,039907,Rail Operations,ASCED 2001
detailed,039909,Cleaning,03,ENGINEERING AND RELATED TECHNOLOGIES,0399,Other Engineering and Related Technologies,039909,Cleaning,ASCED 2001
detailed,039999,"Engineering and Related Technologies, n.e.c.",03,ENGINEERING AND RELATED TECHNOLOGIES,0399,Other Engineering and Related Technologies,039999,"Engineering and Related Technologies, n.e.c.",ASCED 2001
broad,04,ARCHITECTURE AND BUILDING,04,ARCHITECTURE AND BUILDING,,,,,ASCED 2001
narrow,0401,Architecture and Urban Environment,04,ARCHITECTURE AND BUILDING,0401,Architecture and Urban Environment,,,ASCED 2001
detailed,040101,Architecture,04,ARCHITECTURE AND BUILDING,0401,Architecture and Urban Environment,040101,Architecture,ASCED 2001
detailed,040103,Urban Design and Regional Planning,04,ARCHITECTURE AND BUILDING,0401,Architecture and Urban Environment,040103,Urban Design and Regional Planning,ASCED 2001
detailed,040105,Landscape Architecture,04,ARCHITECTURE AND BUILDING,0401,Architecture and Urban Environment,040105,Landscape Architecture,ASCED 2001
detailed,040107,Interior and Environmental Design,04,ARCHITECTURE AND BUILDING,0401,Architecture and Urban Environment,040107,Interior and Environmental Design,ASCED 2001
detailed,040199,"Architecture and Urban Environment, n.e.c.",04,ARCHITECTURE AND BUILDING,0401,Architecture and Urban Environment,040199,"Architecture and Urban Environment, n.e.c.",ASCED 2001
