level,state,region,anzsco_code,anzsco_title,date,vacancies
3,SA,Port Augusta & Eyre Peninsula,5A,"Office Managers, Administrators and Secretaries",2026-07-01,5.667
3,SA,Port Augusta & Eyre Peninsula,5B,"General-Inquiry Clerks, Call Centre Workers, and Receptionists",2026-07-01,47.333
2,SA,Port Augusta & Eyre Peninsula,6,SALES WORKERS,2026-07-01,39.667
3,SA,Port Augusta & Eyre Peninsula,61,Sales Representatives and Agents,2026-07-01,5
3,SA,Port Augusta & Eyre Peninsula,62,Sales Assistants and Salespersons,2026-07-01,28.333
3,SA,Port Augusta & Eyre Peninsula,63,Sales Support Workers,2026-07-01,6.333
2,SA,Port Augusta & Eyre Peninsula,7,MACHINERY OPERATORS AND DRIVERS,2026-07-01,42
3,SA,Port Augusta & Eyre Peninsula,71,Machine and Stationary Plant Operators,2026-07-01,15.333
3,SA,Port Augusta & Eyre Peninsula,72,Mobile Plant Operators,2026-07-01,5
3,SA,Port Augusta & Eyre Peninsula,7A,Drivers and Storepersons,2026-07-01,21.667
2,SA,Port Augusta & Eyre Peninsula,8,LABOURERS,2026-07-01,48
3,SA,Port Augusta & Eyre Peninsula,81,Cleaners and Laundry Workers,2026-07-01,7
3,SA,Port Augusta & Eyre Peninsula,82,Construction and Mining Labourers,2026-07-01,8.667
3,SA,Port Augusta & Eyre Peninsula,83,Factory Process Workers,2026-07-01,5.333
3,SA,Port Augusta & Eyre Peninsula,84,"Farm, Forestry and Garden Workers",2026-07-01,4.667
3,SA,Port Augusta & Eyre Peninsula,85,Food Preparation Assistants,2026-07-01,5.667
3,SA,Port Augusta & Eyre Peninsula,89,Other Labourers,2026-07-01,16.667
1,SA,Yorke Peninsula & Clare Valley,0,Yorke Peninsula & Clare Valley TOTAL,2026-07-01,426.667
2,SA,Yorke Peninsula & Clare Valley,1,MANAGERS,2026-07-01,28
3,SA,Yorke Peninsula & Clare Valley,11,"Chief Executives, Managing Directors & Legislators",2026-07-01,1
3,SA,Yorke Peninsula & Clare Valley,12,Farmers and Farm Managers,2026-07-01,2.667
