level,anzsco_code,anzsco_title,jsa_remoteness,date,vacancies
4,4311,Bar Attendants and Baristas,Regional,2026-07-01,317
4,4312,Cafe Workers,Regional,2026-07-01,129
4,4313,Gaming Workers,Regional,2026-07-01,32
4,4314,Hotel Service Managers,Regional,2026-07-01,49
4,4315,Waiters,Regional,2026-07-01,398
4,4412,Fire and Emergency Workers,Regional,2026-07-01,45
4,4413,Police,Regional,2026-07-01,7
4,4421,Prison Officers,Regional,2026-07-01,17
4,4422,Security Officers and Guards,Regional,2026-07-01,181
4,4511,Beauty Therapists,Regional,2026-07-01,85
4,4512,Driving Instructors,Regional,2026-07-01,11
4,4513,Funeral Workers,Regional,2026-07-01,16
4,4514,"Gallery, Museum and Tour Guides",Regional,2026-07-01,39
4,4515,Personal Care Consultants,Regional,2026-07-01,0
4,4516,Tourism and Travel Advisers,Regional,2026-07-01,43
4,4517,Travel Attendants,Regional,2026-07-01,7
4,4521,Fitness Instructors,Regional,2026-07-01,95
4,4522,Outdoor Adventure Guides,Regional,2026-07-01,7
4,4523,"Sports Coaches, Instructors and Officials",Regional,2026-07-01,245
4,4524,Sportspersons,Regional,2026-07-01,44
1,5,CLERICAL AND ADMINISTRATIVE WORKERS,Regional,2026-07-01,7187
2,55,Numerical Clerks,Regional,2026-07-01,957
2,56,Clerical and Office Support Workers,Regional,2026-07-01,259
2,59,Other Clerical and Administrative Workers,Regional,2026-07-01,1208
2,5A,"Office Managers, Administrators and Secretaries",Regional,2026-07-01,895
2,5B,"General-Inquiry Clerks, Call Centre Workers, and Receptionists",Regional,2026-07-01,3868
4,5111,"Contract, Program and Project Administrators",Regional,2026-07-01,362
4,5121,Office Managers,Regional,2026-07-01,241
4,5122,Practice Managers,Regional,2026-07-01,79
4,5211,Personal Assistants,Regional,2026-07-01,43
4,5212,Secretaries,Regional,2026-07-01,171
4,5311,General Clerks,Regional,2026-07-01,2771
4,5321,Keyboard Operators,Regional,2026-07-01,21
4,5411,Call or Contact Centre Workers,Regional,2026-07-01,278
4,5412,Information Officers,Regional,2026-07-01,138
4,5421,Receptionists,Regional,2026-07-01,659
4,5511,Accounting Clerks,Regional,2026-07-01,281
4,5512,Bookkeepers,Regional,2026-07-01,80
4,5513,Payroll Clerks,Regional,2026-07-01,140
4,5521,Bank Workers,Regional,2026-07-01,226
4,5522,Credit and Loans Officers,Regional,2026-07-01,219
4,5523,"Insurance, Money Market and Statistical Clerks",Regional,2026-07-01,10
4,5611,Betting Clerks,Regional,2026-07-01,1
4,5612,Couriers and Postal Deliverers,Regional,2026-07-01,115
