cricos_provider_code,institution_name,cricos_course_code,course_name,vet_national_code,dual_qualification,course_level,primary_broad_field_code,primary_broad_field_name,primary_narrow_field_code,primary_narrow_field_name,primary_detailed_field_code,primary_detailed_field_name,secondary_broad_field_code,secondary_broad_field_name,secondary_narrow_field_code,secondary_narrow_field_name,secondary_detailed_field_code,secondary_detailed_field_name,foundation_studies,work_component,work_component_hours_per_week,work_component_weeks,work_component_total_hours,course_language,duration_weeks,tuition_fee_aud,non_tuition_fee_aud,estimated_total_course_cost_aud,data_source
00002J,Macquarie University (Macquarie),0100917,Bachelor of Combined Studies in Arts / Engineering (Honours),,No,Bachelor Honours Degree,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,Yes,35.0,12,420,English,260,233900,1825,235725,CRICOS
00002J,Macquarie University (Macquarie),0100918,Bachelor of Combined Studies in Science / Engineering (Honours),,No,Bachelor Honours Degree,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,Yes,35.0,12,420,English,260,251400,1865,253265,CRICOS
00002J,Macquarie University (Macquarie),0100919,Master of Combined Studies in Applied Economics / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,146500,1119,147619,CRICOS
00002J,Macquarie University (Macquarie),0100920,Master of Combined Studies in Banking and Finance / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,182,172900,1305.5,174205.5,CRICOS
00002J,Macquarie University (Macquarie),0100921,Master of Combined Studies in Business Analytics / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,148300,1119,149419,CRICOS
00002J,Macquarie University (Macquarie),0100922,Master of Combined Studies in Commerce / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,146500,1119,147619,CRICOS
00002J,Macquarie University (Macquarie),0100923,Master of Combined Studies in Creative Industries / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,137700,1119,138819,CRICOS
00002J,Macquarie University (Macquarie),0100924,Master of Combined Studies in Cybergovernance and Management / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,130,116400,912.5,117312.5,CRICOS
00002J,Macquarie University (Macquarie),0100925,Master of Combined Studies in Finance / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,130,121100,932.5,122032.5,CRICOS
00002J,Macquarie University (Macquarie),0100926,Master of Combined Studies in International Business / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,146500,1119,147619,CRICOS
00002J,Macquarie University (Macquarie),0100927,Master of Combined Studies in International Relations / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,130,114600,912.5,115512.5,CRICOS
00002J,Macquarie University (Macquarie),0100928,Master of Combined Studies in International Trade and Commerce Law / Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,130,116400,912.5,117312.5,CRICOS
00002J,Macquarie University (Macquarie),0100929,Master of Combined Studies in Management / Marketing,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,130,121100,932.5,122032.5,CRICOS
00002J,Macquarie University (Macquarie),0100930,Master of Combined Studies in Management / Media and Communications,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,137700,1119,138819,CRICOS
00002J,Macquarie University (Macquarie),0100931,Master of Combined Studies in Management / Public and Social Policy,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,130,113350,932.5,114282.5,CRICOS
00002J,Macquarie University (Macquarie),0101343,Bachelor of Combined Studies in Commerce / Education (Secondary),,No,Bachelor Degree,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,Yes,30.0,16,480,English,208,169700,1404,171104,CRICOS
00002J,Macquarie University (Macquarie),0101344,Bachelor of Combined Studies in Education (Primary) / Psychology,,No,Bachelor Degree,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,Yes,36.0,16,576,English,208,164000,1404,165404,CRICOS
00002J,Macquarie University (Macquarie),0101507,Master of Combined Studies in Business Analytics / Information Systems Management,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,148000,1119,149119,CRICOS
00002J,Macquarie University (Macquarie),0101508,Master of Combined Studies in Business Analytics / Information Technology in Cyber Security,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,147400,1119,148519,CRICOS
00002J,Macquarie University (Macquarie),0101509,Master of Combined Studies in Business Analytics / Information Technology in Networking,,No,Masters Degree (Coursework),12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",,,,,,,No,No,,,,English,156,147400,1119,148519,CRICOS
00002J,Macquarie University (Macquarie),0101874,Bachelor of Laws (Honours),,No,Bachelor Honours Degree,09,Society and Culture,0909,Law,090913,Legal Practice,,,,,,,No,No,,,,English,208,205400,1492,206892,CRICOS
00002J,Macquarie University (Macquarie),018437A,Bachelor of Commerce with the degree of Bachelor of Laws,,Yes,Bachelor Degree,08,Management and Commerce,0800,Management and Commerce,080000,"Management and Commerce, n.f.d.",09,Society and Culture,0909,Law,090900,"Law, n.f.d.",No,No,0.0,0,0,English,260,254200,1865,256065,CRICOS
00002J,Macquarie University (Macquarie),020161F,Bachelor of Medical Sciences,,No,Bachelor Degree,01,Natural and Physical Sciences,0199,Other Natural and Physical Sciences,019901,Medical Science,,,,,,,No,No,0.0,0,0,English,156,142300,1119,143419,CRICOS
00002J,Macquarie University (Macquarie),021498F,Bachelor of Psychology (Honours),,No,Bachelor Honours Degree,09,Society and Culture,0907,Behavioural Science,090701,Psychology,,,,,,,No,No,0.0,0,0,English,208,186500,1492,187992,CRICOS
00002J,Macquarie University (Macquarie),021499E,Bachelor of Education (Early Childhood Education) (Birth to 12),,No,Bachelor Degree,07,Education,0701,Teacher Education,070101,Teacher Education: Early Childhood,,,,,,,No,Yes,40.0,18,720,English,208,167300,1492,168792,CRICOS
00002J,Macquarie University (Macquarie),021502D,Doctor of Philosophy (Business and Economics),,No,Doctoral Degree,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,,,,,,,No,No,,,,English,156,123000,0,123000,CRICOS
00002J,Macquarie University (Macquarie),022767D,Master of Accounting (CPA Extension),,No,Masters Degree (Coursework),08,Management and Commerce,0801,Accounting,080101,Accounting,,,,,,,No,No,0.0,0,0,English,130,121100,932.5,122032.5,CRICOS
00002J,Macquarie University (Macquarie),027337G,Bachelor of Social Science,,No,Bachelor Degree,09,Society and Culture,0903,Studies in Human Society,090300,"Studies in Human Society, n.f.d.",,,,,,,No,No,0.0,0,0,English,156,136300,1119,137419,CRICOS
00002J,Macquarie University (Macquarie),027342M,Bachelor of Applied Finance,,No,Bachelor Degree,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081101,Banking and Finance,,,,,,,No,No,0.0,0,0,English,156,146500,1119,147619,CRICOS
00002J,Macquarie University (Macquarie),027343K,Bachelor of Business Administration,,No,Bachelor Degree,08,Management and Commerce,0803,Business and Management,080301,Business Management,,,,,,,No,No,0.0,0,0,English,156,146500,1119,147619,CRICOS
