anzsco4_code,occupation,description,employed,median_weekly_earnings_aud,median_age,annual_employment_growth,average_full_time_hours_worked_per_week,vacancies_aust_jul_2026,vacancies_nsw_jul_2026,vacancies_vic_jul_2026,vacancies_qld_jul_2026,vacancies_sa_jul_2026,vacancies_wa_jul_2026,vacancies_tas_jul_2026,vacancies_nt_jul_2026,vacancies_act_jul_2026,employment_may_2025_thousands,employment_may_2030_thousands,employment_may_2035_thousands,change_5y_thousands,change_5y_pct,change_10y_thousands,change_10y_pct
1499,"Other Hospitality, Retail and Service Managers","Other Hospitality, Retail and Service Managers includes occupations such as Boarding Kennel or Cattery Operators, Cinema or Theatre Managers, Facilities Managers, Financial Institution Branch Managers and Equipment Hire Managers.",91200,2115,46,-200,44,943.33333,307.33333,215.33333,211.66667,50.0,105.0,8.66667,15.66667,29.66667,92.72884809115159,98.9869375257432,105.188118206902,6.258089434591611,6.748805321554268,12.459270115750414,13.436239500681674
2111,"Actors, Dancers and Other Entertainers","Actors, Dancers and Other Entertainers entertain by portraying roles in productions, performing and composing dances, and performing a variety of other acts.",8400,1692,33,500,45,297.33333,69.66667,71.33333,74.0,19.33333,52.0,4.66667,1.66667,4.66667,7.887388104671549,8.29932989141547,8.806271921065571,0.41194178674392035,5.222790881812131,0.9188838163940218,11.650039331141631
2112,Music Professionals,"Music Professionals write, arrange, orchestrate, conduct and perform musical compositions.",11900,1766,45,200,44,10.33333,3.0,3.66667,1.66667,0.33333,1.0,0.33333,0.0,0.33333,10.6590042778057,11.189763378536199,11.8325194350419,0.5307591007304993,4.9794435474207654,1.173515157236201,11.009613343337405
2113,Photographers,Photographers operate still cameras to take photographs.,14200,1840,35,-200,44,29.0,5.66667,8.0,7.66667,1.0,5.0,0.33333,0.33333,1.0,15.231340669207901,16.1434722278652,17.1809761456657,0.9121315586572987,5.988517875522862,1.9496354764577983,12.800156721589422
2114,Visual Arts and Crafts Professionals,"Visual Arts and Crafts Professionals create visual two- and three-dimensional concepts and forms through painting, drawing, carving, sculpting, modelling, printmaking, video, multimedia, found objects, ephemera, soundscapes and other media to communicate concepts and ideas.",15300,2081,56,1300,45,4.33333,1.33333,1.33333,1.0,0.0,0.33333,0.0,0.0,0.33333,12.2825376050673,12.9708422766066,13.7287028182098,0.6883046715392993,5.603928875864637,1.4461652131424998,11.77415660869516
2121,"Artistic Directors, Media Producers and Presenters","Artistic Directors, and Media Producers and Presenters plan, administer and review activities concerned with producing artistic media, determine artistic policies for performing arts organisations, prepare and present news, sports and other information, and conduct interviews and introduce music, performances and special events on radio and television.",13800,2179,40,200,46,13.33333,5.66667,4.33333,1.33333,0.33333,0.66667,0.33333,0.33333,0.33333,14.3290223579547,15.7173198243812,17.044086281704303,1.3882974664264989,9.688710309365879,2.715063923749602,18.948005355315427
2122,"Authors, and Book and Script Editors","Authors, and Book and Script Editors write, edit and evaluate literary works for publication and scripts for film, television, radio and stage productions.",6800,,53,300,44,79.0,21.0,12.33333,20.33333,5.33333,11.66667,1.33333,2.33333,4.66667,6.034841177745481,6.605258891375049,7.13381736442656,0.5704177136295687,9.452074989696209,1.098976186681079,18.21052376214545
2123,"Film, Television, Radio and Stage Directors","Film, Television, Radio and Stage Directors direct the artistic and production aspects of film, television, radio and stage productions.",17400,1975,35,800,45,76.0,28.0,14.33333,17.33333,5.0,8.66667,0.66667,0.66667,1.33333,15.467682640342,16.9700184875418,18.4288499869433,1.5023358471998005,9.71274031238194,2.9611673466012984,19.144220989368744
2124,Journalists and Other Writers,"Journalists and Other Writers research and compile news stories, write and edit news reports, commentaries and feature stories for presentation in print and electronic media, and compose written material to advertise goods and services.",23000,1722,40,-300,42,790.33333,248.0,194.0,127.33333,47.33333,85.33333,13.0,10.0,65.33333,23.3387779292834,25.5669979835346,27.7138188384983,2.2282200542511994,9.547286755984894,4.375040909214903,18.74580118321232
2211,Accountants,"Accountants provide services relating to financial reporting, taxation, auditing, insolvency, accounting information systems, budgeting, cost management, planning and decision-making by organisations and individuals; and provide advice on associated compliance and performance requirements to ensure statutory and strategic governance.",215500,2003,42,5800,43,3343.0,1099.0,808.66667,802.66667,165.33333,361.66667,33.66667,12.33333,59.66667,210.295305183867,228.043111695155,245.259539867072,17.74780651128802,8.439468725072404,34.96423468320501,16.62625547091259
