major_code,major_name,narrow_field_code,narrow_field_name,broad_field_code,broad_field_name,data_source
061305,Indigenous Health,0613,Public Health,06,HEALTH,ASCED 2001
061307,Health Promotion,0613,Public Health,06,HEALTH,ASCED 2001
061309,Community Health,0613,Public Health,06,HEALTH,ASCED 2001
061311,Epidemiology,0613,Public Health,06,HEALTH,ASCED 2001
061399,"Public Health, n.e.c.",0613,Public Health,06,HEALTH,ASCED 2001
061501,Radiography,0615,Radiography,06,HEALTH,ASCED 2001
061701,Physiotherapy,0617,Rehabilitation Therapies,06,HEALTH,ASCED 2001
061703,Occupational Therapy,0617,Rehabilitation Therapies,06,HEALTH,ASCED 2001
061705,Chiropractic and Osteopathy,0617,Rehabilitation Therapies,06,HEALTH,ASCED 2001
061707,Speech Pathology,0617,Rehabilitation Therapies,06,HEALTH,ASCED 2001
061709,Audiology,0617,Rehabilitation Therapies,06,HEALTH,ASCED 2001
061711,Massage Therapy,0617,Rehabilitation Therapies,06,HEALTH,ASCED 2001
061713,Podiatry,0617,Rehabilitation Therapies,06,HEALTH,ASCED 2001
061799,"Rehabilitation Therapies, n.e.c.",0617,Rehabilitation Therapies,06,HEALTH,ASCED 2001
061901,Naturopathy,0619,Complementary Therapies,06,HEALTH,ASCED 2001
061903,Acupuncture,0619,Complementary Therapies,06,HEALTH,ASCED 2001
061905,Traditional Chinese Medicine,0619,Complementary Therapies,06,HEALTH,ASCED 2001
061999,"Complementary Therapies, n.e.c.",0619,Complementary Therapies,06,HEALTH,ASCED 2001
069901,Nutrition and Dietetics,0699,Other Health,06,HEALTH,ASCED 2001
069903,Human Movement,0699,Other Health,06,HEALTH,ASCED 2001
069905,Paramedical Studies,0699,Other Health,06,HEALTH,ASCED 2001
069907,First Aid,0699,Other Health,06,HEALTH,ASCED 2001
069999,"Health, n.e.c.",0699,Other Health,06,HEALTH,ASCED 2001
070101,Teacher Education: Early Childhood,0701,Teacher Education,07,EDUCATION,ASCED 2001
070103,Teacher Education: Primary,0701,Teacher Education,07,EDUCATION,ASCED 2001
070105,Teacher Education: Secondary,0701,Teacher Education,07,EDUCATION,ASCED 2001
070107,Teacher-Librarianship,0701,Teacher Education,07,EDUCATION,ASCED 2001
070109,Teacher Education: Vocational Education and Training,0701,Teacher Education,07,EDUCATION,ASCED 2001
070111,Teacher Education: Higher Education,0701,Teacher Education,07,EDUCATION,ASCED 2001
070113,Teacher Education: Special Education,0701,Teacher Education,07,EDUCATION,ASCED 2001
070115,English as a Second Language Teaching,0701,Teacher Education,07,EDUCATION,ASCED 2001
070117,Nursing Education Teacher Training,0701,Teacher Education,07,EDUCATION,ASCED 2001
070199,"Teacher Education, n.e.c.",0701,Teacher Education,07,EDUCATION,ASCED 2001
070301,Curriculum Studies,0703,Curriculum and Education Studies,07,EDUCATION,ASCED 2001
070303,Education Studies,0703,Curriculum and Education Studies,07,EDUCATION,ASCED 2001
079999,"Education, n.e.c.",0799,Other Education,07,EDUCATION,ASCED 2001
080101,Accounting,0801,Accounting,08,MANAGEMENT AND COMMERCE,ASCED 2001
080301,Business Management,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080303,Human Resource Management,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080305,Personal Management Training,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080307,Organisation Management,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080309,Industrial Relations,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080311,International Business,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080313,Public and Health Care Administration,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080315,Project Management,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080317,Quality Management,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080319,Hospitality Management,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080321,Farm Management and Agribusiness,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080323,Tourism Management,0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080399,"Business and Management, n.e.c.",0803,Business and Management,08,MANAGEMENT AND COMMERCE,ASCED 2001
080501,Sales,0805,Sales and Marketing,08,MANAGEMENT AND COMMERCE,ASCED 2001
080503,Real Estate,0805,Sales and Marketing,08,MANAGEMENT AND COMMERCE,ASCED 2001
080505,Marketing,0805,Sales and Marketing,08,MANAGEMENT AND COMMERCE,ASCED 2001
080507,Advertising,0805,Sales and Marketing,08,MANAGEMENT AND COMMERCE,ASCED 2001
080509,Public Relations,0805,Sales and Marketing,08,MANAGEMENT AND COMMERCE,ASCED 2001
080599,"Sales and Marketing, n.e.c.",0805,Sales and Marketing,08,MANAGEMENT AND COMMERCE,ASCED 2001
080701,Tourism,0807,Tourism,08,MANAGEMENT AND COMMERCE,ASCED 2001
080901,Secretarial and Clerical Studies,0809,Office Studies,08,MANAGEMENT AND COMMERCE,ASCED 2001
080903,Keyboard Skills,0809,Office Studies,08,MANAGEMENT AND COMMERCE,ASCED 2001
080905,Practical Computing Skills,0809,Office Studies,08,MANAGEMENT AND COMMERCE,ASCED 2001
080999,"Office Studies, n.e.c.",0809,Office Studies,08,MANAGEMENT AND COMMERCE,ASCED 2001
081101,Banking and Finance,0811,"Banking, Finance and Related Fields",08,MANAGEMENT AND COMMERCE,ASCED 2001
081103,Insurance and Actuarial Studies,0811,"Banking, Finance and Related Fields",08,MANAGEMENT AND COMMERCE,ASCED 2001
081105,Investment and Securities,0811,"Banking, Finance and Related Fields",08,MANAGEMENT AND COMMERCE,ASCED 2001
081199,"Banking, Finance and Related Fields, n.e.c.",0811,"Banking, Finance and Related Fields",08,MANAGEMENT AND COMMERCE,ASCED 2001
089901,"Purchasing, Warehousing and Distribution",0899,Other Management and Commerce,08,MANAGEMENT AND COMMERCE,ASCED 2001
089903,Valuation,0899,Other Management and Commerce,08,MANAGEMENT AND COMMERCE,ASCED 2001
089999,"Management and Commerce, n.e.c.",0899,Other Management and Commerce,08,MANAGEMENT AND COMMERCE,ASCED 2001
090101,Political Science,0901,Political Science and Policy Studies,09,SOCIETY AND CULTURE,ASCED 2001
090103,Policy Studies,0901,Political Science and Policy Studies,09,SOCIETY AND CULTURE,ASCED 2001
090301,Sociology,0903,Studies in Human Society,09,SOCIETY AND CULTURE,ASCED 2001
090303,Anthropology,0903,Studies in Human Society,09,SOCIETY AND CULTURE,ASCED 2001
090305,History,0903,Studies in Human Society,09,SOCIETY AND CULTURE,ASCED 2001
