cricos_course_code,course_name,course_level,field_rank,broad_field_code,broad_field_name,narrow_field_code,narrow_field_name,field_code,field_name,data_source
027361G,Combined PHD/Masters in Clinical Psychology,Doctoral Degree,2,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
027373D,Master of Clinical Audiology,Masters Degree (Coursework),1,06,Health,0617,Rehabilitation Therapies,061709,Audiology,CRICOS
027374C,Master of Clinical Neuropsychology,Masters Degree (Coursework),1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
028662J,Study Abroad,Non AQF Award,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
028866G,Bachelor of Chiropractic Science,Bachelor Degree,1,06,Health,0617,Rehabilitation Therapies,061705,Chiropractic and Osteopathy,CRICOS
030053E,Master of Organisational Psychology,Masters Degree (Coursework),1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
030079F,Master of Arts,Masters Degree (Coursework),1,09,Society and Culture,0915,Language and Literature,091523,Literature,CRICOS
030375J,Bachelor of Applied Finance with the degree of Bachelor of Economics,Bachelor Degree,1,08,Management and Commerce,0811,"Banking, Finance and Related Fields",081101,Banking and Finance,CRICOS
030375J,Bachelor of Applied Finance with the degree of Bachelor of Economics,Bachelor Degree,2,09,Society and Culture,0919,Economics and Econometrics,091901,Economics,CRICOS
031133G,Bachelor of Business Administration with the degree of Bachelor of Arts - Psychology,Bachelor Degree,1,08,Management and Commerce,0803,Business and Management,080301,Business Management,CRICOS
031133G,Bachelor of Business Administration with the degree of Bachelor of Arts - Psychology,Bachelor Degree,2,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
031331B,Bachelor of Science - Psychology,Bachelor Degree,1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
037278J,Bachelor of Marine Science,Bachelor Degree,1,01,Natural and Physical Sciences,0109,Biological Sciences,010907,Marine Science,CRICOS
037283A,Bachelor of Arts - Psychology with the degree of Bachelor of Laws,Bachelor Degree,1,09,Society and Culture,0907,Behavioural Science,090701,Psychology,CRICOS
037283A,Bachelor of Arts - Psychology with the degree of Bachelor of Laws,Bachelor Degree,2,09,Society and Culture,0909,Law,090900,"Law, n.f.d.",CRICOS
037296G,Exchange Program,Non AQF Award,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
037297F,Exchange Program,Non AQF Award,1,12,Mixed Field Programmes,1299,Other Mixed Field Programmes,129999,"Mixed Field Programmes, n.e.c.",CRICOS
037303B,Master of Speech and Language Pathology,Masters Degree (Coursework),1,06,Health,0617,Rehabilitation Therapies,061707,Speech Pathology,CRICOS
043333A,Bachelor of e-Business,Bachelor Degree,1,08,Management and Commerce,0803,Business and Management,080399,"Business and Management, n.e.c.",CRICOS
