industry_label,males,females,persons
Motor Vehicle Body and Trailer Manufacturing,11082,2020,13099
Automotive Electrical Component Manufacturing,442,150,590
Other Motor Vehicle Parts Manufacturing,7229,1634,8864
"Other Transport Equipment Manufacturing, nfd",226,28,260
Shipbuilding and Repair Services,8523,1956,10477
Boatbuilding and Repair Services,5431,694,6127
Railway Rolling Stock Manufacturing and Repair Services,4081,630,4718
Aircraft Manufacturing and Repair Services,6131,1208,7336
Other Transport Equipment Manufacturing nec,662,203,863
"Machinery and Equipment Manufacturing, nfd",4200,1036,5237
"Professional and Scientific Equipment Manufacturing, nfd",33,18,51
"Photographic, Optical and Ophthalmic Equipment Manufacturing",539,283,820
Medical and Surgical Equipment Manufacturing,5381,4707,10089
Other Professional and Scientific Equipment Manufacturing,1468,508,1971
"Computer and Electronic Equipment Manufacturing, nfd",1003,389,1395
Computer and Electronic Office Equipment Manufacturing,841,282,1130
Communication Equipment Manufacturing,2291,683,2976
Other Electronic Equipment Manufacturing,2574,1054,3636
"Electrical Equipment Manufacturing, nfd",76,28,103
Electric Cable and Wire Manufacturing,1229,379,1608
Electric Lighting Equipment Manufacturing,1623,685,2307
Other Electrical Equipment Manufacturing,5273,1167,6442
"Domestic Appliance Manufacturing, nfd",13,6,16
Whiteware Appliance Manufacturing,960,378,1339
Other Domestic Appliance Manufacturing,1642,528,2168
"Pump, Compressor, Heating and Ventilation Equipment Manufacturing, nfd",16,9,25
Pump and Compressor Manufacturing,1985,509,2500
"Fixed Space Heating, Cooling and Ventilation Equipment Manufacturing",1718,475,2190
"Specialised Machinery and Equipment Manufacturing, nfd",73,15,86
Agricultural Machinery and Equipment Manufacturing,2052,433,2490
Mining and Construction Machinery Manufacturing,4757,861,5616
Machine Tool and Parts Manufacturing,1183,254,1438
Other Specialised Machinery and Equipment Manufacturing,1587,308,1895
"Other Machinery and Equipment Manufacturing, nfd",24,0,24
Lifting and Material Handling Equipment Manufacturing,2928,595,3519
Other Machinery and Equipment Manufacturing nec,5059,1017,6078
"Furniture and Other Manufacturing, nfd",54,15,71
"Furniture Manufacturing, nfd",578,215,790
Wooden Furniture and Upholstered Seat Manufacturing,11058,2038,13100
Metal Furniture Manufacturing,518,90,607
Mattress Manufacturing,827,457,1285
Other Furniture Manufacturing,7211,1961,9174
"Other Manufacturing, nfd",13,19,32
Jewellery and Silverware Manufacturing,1584,1824,3404
"Toy, Sporting and Recreational Product Manufacturing",1384,559,1943
Other Manufacturing nec,1404,616,2017
Total Manufacturing,503739,211021,714759
"Electricity, Gas, Water and Waste Services, nfd",1923,679,2598
"Electricity Supply, nfd",5722,1558,7272
"Electricity Generation, nfd",195,52,248
Fossil Fuel Electricity Generation,5360,1275,6630
Hydro-Electricity Generation,1231,481,1718
Other Electricity Generation,1454,416,1868
Electricity Transmission,2618,882,3502
Electricity Distribution,20854,6441,27293
On Selling Electricity and Electricity Market Operation,5993,3647,9636
Gas Supply,3646,1458,5104
"Water Supply, Sewerage and Drainage Services, nfd",533,165,698
Water Supply,20775,9666,30440
Sewerage and Drainage Services,965,189,1153
"Waste Collection, Treatment and Disposal Services, nfd",2121,666,2790
"Waste Collection Services, nfd",4366,1412,5783
Solid Waste Collection Services,10410,2414,12825
Other Waste Collection Services,752,238,989
"Waste Treatment, Disposal and Remediation Services, nfd",193,49,238
Waste Treatment and Disposal Services,3796,1166,4966
Waste Remediation and Materials Recovery Services,6892,1714,8606
