occupation_code,onet_code
461831,39-7011.00
461831,39-7012.00
461831,41-3041.00
461937,21-2011.00
461937,21-2021.00
461937,39-4031.00
461941,21-1091.00
461941,29-1031.00
461941,29-2051.00
461999,15-2021.00
462131,25-2059.01
462131,29-1128.00
462131,39-9031.00
462231,39-9031.00
462433,27-2022.00
462433,29-9091.00
462442,25-3099.00
462443,25-2059.01
462443,27-2022.00
462443,29-9091.00
471131,35-3011.00
471131,35-3023.01
471231,35-3011.00
471231,35-3023.00
471231,35-3023.01
471535,37-1011.00
471631,35-9099.00
471632,35-3031.00
521231,23-1012.00
521231,23-1022.00
521231,23-1023.00
521234,23-1011.00
521234,23-1012.00
521234,23-1021.00
521235,43-4031.00
521235,43-6012.00
522131,43-1011.00
522131,43-3051.00
522131,43-6011.00
522231,43-6011.00
522231,43-6014.00
531131,43-3071.00
531131,43-4141.00
531231,13-2041.00
531231,13-2071.00
531231,13-2072.00
531332,41-3031.00
531333,13-2072.00
531333,43-4131.00
531334,13-2053.00
531334,41-3021.00
531334,41-3091.00
531431,43-3021.00
531431,43-9041.00
541331,11-3121.00
541331,43-3031.00
541331,43-3051.00
542131,13-2011.00
542131,43-3021.00
542131,43-3031.00
549132,33-9031.00
549132,39-1013.00
549132,39-3011.00
549133,13-2081.00
549133,43-3011.00
549133,43-3021.00
551132,41-9041.00
551132,43-1011.00
551232,43-2021.00
553131,43-2011.00
553131,43-4021.00
553131,43-4081.00
561232,23-2011.00
561232,27-3092.00
561232,43-4031.00
561233,43-2021.00
561233,43-4021.00
561233,43-9021.00
571431,43-5071.00
571431,43-5111.00
571931,43-5011.01
591135,17-3028.00
591135,43-3021.00
591135,43-5041.00
591999,11-9199.01
591999,11-9199.02
591999,13-1041.00
599131,15-1211.01
599131,29-2072.00
599131,31-9092.00
599132,25-4022.00
599132,25-4031.00
599132,43-4121.00
599331,43-4021.00
599331,43-5052.00
599331,43-5053.00
599931,15-1211.01
599931,29-2072.00
599931,31-9094.00
599932,13-1041.08
599938,11-9121.01
599938,13-1161.00
599938,19-3022.00
611131,41-2011.00
619132,41-9012.00
619133,41-9011.00
619134,41-9041.00
619135,27-1025.00
619135,27-1026.00
619931,35-9031.00
619931,39-3031.00
619931,39-3091.00
621131,13-1031.00
621131,13-2053.00
621131,13-2054.00
622231,41-9021.00
622232,23-2093.00
622232,41-9021.00
622232,41-9022.00
631131,41-2022.00
631131,41-2031.00
631131,41-9091.00
631531,41-2011.00
631631,53-6031.00
711134,33-9094.00
711134,53-3033.00
711134,53-3053.00
711231,33-9094.00
711231,53-3032.00
711231,53-3051.00
711333,33-9091.00
711333,33-9094.00
711333,53-3051.00
731231,51-9196.00
731332,51-4072.00
731332,51-9041.00
731432,51-6063.00
731933,47-2051.00
731938,39-4011.00
731938,47-2022.00
731938,47-2043.00
731999,27-4031.00
731999,39-3021.00
732131,47-2072.00
732131,53-3032.00
732131,53-7021.00
732231,51-4034.00
732231,51-4035.00
732231,51-4041.00
741231,47-2071.00
741231,47-2072.00
741231,47-2073.00
741233,47-2071.00
741233,47-2072.00
741233,47-2073.00
741234,47-2061.00
741234,47-2071.00
741234,47-2072.00
741235,47-2071.00
741235,47-2072.00
741235,47-2073.00
741331,53-7051.00
741936,47-2071.00
741936,47-2072.00
741936,47-2073.00
741937,53-7062.00
741999,53-7031.00
811231,37-2011.00
811231,37-2012.00
811332,39-3093.00
811332,51-6011.00
811432,37-1011.00
811432,37-2012.00
811432,39-1022.00
811933,35-9021.00
811933,37-2011.00
811933,37-2012.00
811999,37-2021.00
821331,47-4031.00
831133,51-3091.00
831232,51-3021.00
831232,51-3022.00
831232,51-3023.00
832231,51-2021.00
832231,51-2022.00
832231,51-2023.00
839138,53-7062.00
839138,53-7062.04
839138,53-7081.00
839232,43-5111.00
839232,45-2041.00
839232,51-9061.00
841142,45-2092.00
842131,37-3011.00
842131,45-2092.00
842131,47-4031.00
851131,35-2011.00
851131,35-2015.00
851232,35-9021.00
891231,27-1026.00
891231,53-7065.00
899434,49-3091.00
899434,49-3093.00
899434,51-9197.00
